sample_name	unit_name	fq1	fq2	sra	adapters	strandedness
SRR31231524	lane1			SRR31231524		
SRR31231525	lane1			SRR31231525		
SRR31231526	lane1			SRR31231526		
SRR31231527	lane1			SRR31231527		
SRR31231534	lane1			SRR31231534		
SRR31231539	lane1			SRR31231539		
SRR31231546	lane1			SRR31231546		
SRR31231551	lane1			SRR31231551		
SRR31231553	lane1			SRR31231553		
SRR31231555	lane1			SRR31231555		
SRR31231558	lane1			SRR31231558		
SRR31231560	lane1			SRR31231560		
SRR31231567	lane1			SRR31231567		
SRR31231572	lane1			SRR31231572		
SRR31231574	lane1			SRR31231574		
SRR31231578	lane1			SRR31231578		
